DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.3389/fmicb.2022.814323,non-inoculation; Eh; Sb more entering; AMF inoculation; antimony Sb; Sb; inoculation; AMF; Sb stress,AMF inoculation; Arbuscular mycorrhizal fungi (AMF),aboveground biomass; biomass underground; biomass grain,,the greenhouse; pot,,the rice; rice,,
10.7717/peerj.13080,AMF PGPR; inoculation treatments; inoculated; PGPR; single dual; single inoculations; AMF inoculation; AMF PGPR inoculated; PGPR inoculation,arbuscular mycorrhizal fungi (AMF); plant growth-promoting rhizobacteria,vegetation biomass; belowground biomass; height; plant growth,,,,Elymus nutans nutans Griseb with; Elymus nutans Griseb,,
10.3390/molecules27061752,He-Ne laser-irradiation; non-irradiated; four groups; co-treatment; control group2; control group1; fungi inoculation; non-colonized group; mycorrhizal colonized; AMF co-treatment,arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis; Rhizophagus irregularis MUCL,biomass; yield,,climate-controlled chamber,,rose-scented geranium; P. graveolens; Pelargonium graveolens,,
10.1111/plb.13402,Inoculation; AM-dependent; severe water; AM; treatments; the inoculum; intermediate water; AMnat; AMnat drought; AM inocula; AM fungi,arbuscular mycorrhizal (AM); AMnat inoculum,plant responses; leaf biomass; plant growth,native soils; invaded soils,,,Acacia dealbata; P. lanceolata; more P. However However; Plantago lanceolata,,
10.1007/s00203-022-02786-0,the yeast; inoculating; mycorrhizae rhizobia; non-sterile sand substrates; inoculum; inoculation; mycorrhizal fungi,Debaryomyces; soil yeasts; the strain Saccharomyces cerevisiae; Rhodotorula; Meyerozyma guilliermondii; Meyerozyma guilliermondii MT259039; hansenii; mucilaginosa; indigenous soil; Saccharomyces cerevisiae; rhizobia,vulgaris growth parameters; the bean biomass,,,agricultural,improving bean; bean; Phaseolus vulgaris,,
10.1016/j.scitotenv.2022.153696,soil biota; > fertilizer; combined sole; untreated soils; sole; arsenic; fertilizer; low nutrient,arbuscular mycorrhizal fungi,shoot biomass production; growth; root biomass,sandy soils; high heavy metal,field,soil heavy metals; Coal mine; reclamation; agricultural; soil heavy metal; contaminated; heavy metal,Medicago ruthenica; Hordeum vulgare; alfalfa L. barley; alfalfa,,
10.3390/plants11010089,water-deficiency; soil-water; inoculated; AM; Drought; the treatment irrigation; mock-inoculated; ample water; drought; all treatments; treatment irrigation; Fungi inoculation; AMF,AMF inoculation; R. irregulare mock-inoculated; Arbuscular Mycorrhiza Fungi (AMF); Plant inoculation,growth evapotranspiration nutrition morphology; dry biomass; yield,,field; glasshouse,crop,Okra; Khartoumia; Khartoumia' HSD6719 HSD7058 Sarah,tropical subtropical regions,
10.1007/s00248-021-01945-y,treatments inoculated; treatments non-inoculated; AMF colonized; four; control soil; AMF inoculated; non-contaminated control soil; the treatments; AMF; when colonized; treatments all inoculated,arbuscular mycorrhizal fungi (AMF); commercial mix; intraradices G. mosseae; Glomus intraradices; AMF inoculum; intraradices G. etunicatum aggregatum; G. etunicatum aggregatum; Glomus intraradices mosseae etunicatum,root mass; growth; Plant biomass; plant biomass,contaminated soils; post-industrial soils; heavy metal-contaminated; contaminated soil,,urban post-industrial; urban; regeneration succession; remediation restoration; the natural regeneration succession,Lolium perenne; rye grass,terrestrial plants,soil USA; New Jersey
10.1007/s00572-021-01059-w,AM; exogenous indigenous; non-inoculation control; As; AM inoculation; three; inoculation non-inoculation control; inoculation control; AM fungi,arbuscular mycorrhizal (AM); indigenous AM fungi,biomass; growth; plant growth,,,,alfalfa L.; Medicago sativa; alfalfa plants,,
10.3390/plants10122716,80%; mycorrhizal inoculum; AMF native; salinity levels; four saline soils; AMF; inoculate,Arbuscular mycorrhizal fungi (AMF); bacterial; AMF inoculum; AMF-mixed inoculums; indigenous mycorrhizal inoculum; indigenous inoculum,plant biomasses; biomasses bacterial,arid soils; saline soils; saline soil,microcosm,Soil degradation,arid semiarid; edaphoclimatic; Tamarix articulata; T. articulata,semiarid areas,
10.1007/s00284-021-02682-8,AM; treatments; Acidobacteria; co-inoculation; 80% of; treatments co-inoculated with AM; sole; co-inoculation AM ZSB2; co-inoculation treatment; co-inoculated treatments; solubilizing bacteria; the co-inoculation treatment,Bacillus megaterium; Proteobacteria Actinobacteria Acidobacteria;   Candidatus Pedomicrbium;   Bradyrhizobium;   Candidatus Pedomicrbium Thermoporothrix Acinetobacter Nitrospira; Chloroflexi; Pedomicrbium Thermoporothrix;   Pedomicrbium Acinetobacter; ZSB2-   Bacillus megaterium NCBI-KY687496; Proteobacteria Actinobacteria; arbuscular mycorrhizal fungi (AM Rhizophagus; Pedomicrbium Nitrospira,plant height; dry biomass; plant growth,,,,Curcuma longa; turmeric,,
10.1038/s41598-021-03132-y,ERG; SF; with without; pathogens; ERG the; alternating; mycorrhiza helper bacterium; RF; the pathogens; other interactors; the EMF; RF SF,ectomycorrhizal fungus,biomass,,,,temperate tree,many tropical species,
10.1002/eap.2501,soil biota; unsterilized; sterilized soils; control treatment; soil soil nutrient control biota treatments; biota treatment; the control treatment; sterilized soil; control soil; self-trained soil; nutrient treatment; the treatments; soil microbiome; control treatments; nutrient control soils,,total biomass; the total biomass; agricultural yields,,field,crops; crop; crop each; crops microbes; crops the alfalfa legume; crops the; crop each grown; agricultural; crops the other; major crops cultivated,alfalfa soybean; soybean wheat; alfalfa canola maize; canola maize soybean; alfalfa canola; maize soybean wheat,,
10.1002/ppp3.10094,the growing consensus; nutrient fertilizers; Inoculation; inoculated plants; inoculation; mycorrhizal inoculants; chemical-based fertilizers; non-sterile; fertilizer; with; inoculum; fertilizers; AMF,arbuscular mycorrhizas; commercial mycorrhizal inoculant; arbuscular mycorrhizal; arbuscular mycorrhizal fungi; arbuscular mycorrhizal fungal (AMF),crop yields; growth; plant biomass; yield,,,heavy application; crop; Summary Arable agriculture; agricultural; pollution,wheat,Arable,
10.1016/j.crmicr.2021.100061,growth promoting bacteria; inoculated,arbuscular mycorrhizal fungi,biomass tissue; growth; the growth content; growth survival,barren laterite; laterite rocks; laterite soils,nursery thereafter,land degradation posing; land degradation problems,tryphysa A.; Ailanthus tryphysa; tryphysa,,India
10.1371/journal.pone.0259959,80%; inoculation treatments; deficit-mediated; AM; all water; water deficit-mediated; with; FC; drought; 80% FC; soil water; without AM inoculation; AM fungi,arbuscular mycorrhizal (AM); intraradices; Rhizophagus intraradices,biomass; the growth photosynthesis system; seedling growth,,,ecological restoration,E. maackii-AM; Euonymus maackii; E. maackii,arid regions,
10.1016/j.scitotenv.2021.151803,arsenic % Most; arsenic nutrient; arsenic; phosphorus fertilization; arsenic plant-accumulated; mycorrhizal fungi,,biomass; lower biomass cost,medium-textured soil; coarse-textured soil; arsenic-contaminated soils,,,ferns; ferns growing; a soil coarse-; soil coarse-; P. vittata; Pteris vittata,,
10.1007/s11356-021-17256-1,the fertilizer used; Fertilizer; Cd concentrations; fertilization fertilizer inoculation; fertilization fertilizer; fertilizer; Cd; AMF,indica Piriformospora; fungal inoculation; Funneliformis indica; arbuscular mycorrhizal (AMF); indica indica formerly Piriformospora; indica formerly; Funneliformis mosseae indica indica mycorrhizal fungi; endophytic fungi; mosseae Serendipita indica,biomass yield; biomass,,field,,indica S.,,
10.1016/j.scitotenv.2021.151649,biochar; Pyrolyzed; AM; the AM fungus; biochar AM; As; biochar mycorrhizal photosynthesis; biochar amended,arbuscular mycorrhizal (AM); Rhizophagus irregularis; AM fungus Rhizophagus irregularis M+ M-,growth yield; Pyrolyzed biomass; temperatures,,field,,potato; Potato plants; wheat miscanthus,,
10.1080/15226514.2021.2002809,combined application; Cu; earthworms inoculation; combined treatment; earthworms; OM; remediated; the bioremediation; AMF earthworms; inoculation,Flavobacterium Pedobacter; Pseudomonas Arthrobacter; Bacteroides Proteobacteria; Arbuscular mycorrhizal fungi (AMF); Bacteroides Proteobacteria Actinobacteria; Pseudomonas Luteimonas; Mortierella; Pedobacter Algoriphagus Gaetbulibacter; Bacteroides Actinobacteria; Algoriphagus Gaetbulibacter Pseudomonas; Gaetbulibacter Pseudomonas Luteimonas Arthrobacter; Flavobacterium Pedobacter Algoriphagus,the biomass,Cu-contaminated soil; heavy metal-contaminated; contaminated soils,,remediation; the remediation,T. patula; Tagetes patula,,
10.1007/s00572-021-01057-y,treatments; bracken mycorrhizal fungi; all treatments; inoculated treatments; AMF,AMF inoculum; arbuscular mycorrhizal fungi; Glomus; Arbuscular mycorrhizal fungi (AMF),total biomass; seedling growth,,,forest regeneration; agricultural expansion; forest restoration,Clusia; Pteridium rhizomes; Pteridium spp; Pteridium inoculum; Clusia trochiformis; terrestrial plants; Tropical montane forests; forests; bracken areas; bracken fern,Tropical montane,
10.3389/fpls.2021.740524,(-)-camphor capsanthin β-caryophyllene limonin phytol roseoside sweroside α-terpineol; normal water; Soil water; soil well-watered; drought; inoculation; AMF; mycorrhizal inoculation; mycorrhizal fungi,arbuscular mycorrhizal fungi (AMF); Rhizophagus intraradices; AMF inoculation,root biomass,,,crops; crop,,,
10.1016/j.sjbs.2021.08.016,biochar the treatment; combined treatment; the control; biochar treatment; control; Drought; biochar AMF treatment; biochar AMF; AMF alone; AMF treatment; alone; drought; un-inoculated control; biochar fungi; AMF treatment alone; AMF; treatment alone,Arbuscular mycorrhizal fungi (AMF),microbial biomass; Plant growth; growth the; dry weight; plant growth,,pot,crop,okra; Abelmoschus esculentus; Okra esculentus,,
10.3390/plants10091948,SSU; Inoculation; Five; uninoculated plants; autumn-winter; AM fungi,arbuscular mycorrhizal fungi (AM fungi; Funneliformis mosseae,yield; root biomass; the yields; plant growth; yields; plant biomass,,,,coconut; produced tomatoes; tomato,,
10.3390/microorganisms9091803,treatments; four; over 80% of; three; Phytate; inoculation; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); Sebacina; Glomus; Claroideoglomus etunicatum mosseae; Funneliformis mosseae; Trichoderma; fungal Bacterial; Claroideoglomus etunicatum; etunicatum Funneliformis mosseae taxon,dry weight weight biomass; old growth; plant growth; dry weight biomass,nutrient-poor substrate,greenhouse,rhizosphere biotopes,soybean; maple forest,,
10.1038/s41598-021-97674-w,exogenous inoculation AM inoculation treatment; DGGE; Salt stress; salt stress; salt treatment; AM; salt treatments; inoculation Exogenous AM inoculation treatment; salt exogenous inoculation AM inoculation treatment; AM inoculation; females; AM inoculation treatment,arbuscular mycorrhizal (AM),growth biomass accumulation; biomass; growth; growth limited biomass,,,,dioecious plants; Populus cathayana; P. cathayana,,
10.1016/j.scitotenv.2021.149904,AMF associated; antimony; ribosome; Sb phytoremediation; AMF inoculated; AMF the; Sb; when inoculated; AMF,arbuscular mycorrhizal fungi (AMF); Glomus; AMF inoculation,shoot biomass,,,mining,nervosa; Pteris cretica; P. cretica; P. var,,
10.3390/molecules26175321,EO displaying; EO; EO tested all; distilled; EO the tested one; mycorrhizal inoculation,,biomass; growth production,,,polluted,linalool; % linalool; coriander sativum; Coriandrum sativum; Salvia sclarea; clary sage; coriander Coriandrum sativum,,
10.1016/j.jhazmat.2021.125894,cadmium; Inoculation; RI; mycorrhizal treatment; AMF Inoculation; control; Cd stress; RI Inoculation; AM fungus; Cd fixation; Cd; carboxyl groups; inoculation,arbuscular mycorrhizal fungi (AMF); Rhizophagus intraradices; AM fungus Rhizophagus intraradices RI,p shoot biomass height,,,,rice,,
10.1016/j.scitotenv.2021.149843,soil bacteria; microbiome present Bacterial; dilution treatments; four soil treatments; soil; D9; AMF,arbuscular mycorrhizal fungi (AMF); Acaulospora colombiana albida; bacterial; Acaulospora colombiana; Bacterial; Claroideoglomus etunicatum; Gigaspora albida; AMF inoculation; colombiana Gigaspora albida,microbial biomass,,microcosms,coal mining; coal mine; degraded; impacted,millet,,
10.1007/s00572-021-01048-z,colonized; four fungi; non-colonized; four; four ectomycorrhizal; sodium,Paxillus; Suillus; Ectomycorrhizal fungi; ectomycorrhizal fungi; Hebeloma cylindrosporum,biomass nutrient,,,,Pinus taeda; P. ; P. taeda; Loblolly pine; woody,,Southeastern USA
10.1007/s00248-021-01841-5,acids inoculation species; AMF decurrens; AMF microbes; AMF canadensis; without inoculation; ammonium; AMF,Arbuscular mycorrhizal fungi (AMF),biomass; growth; root biomass,,,,canadensis S.; S. decurrens; Solidago canadensis,,
10.1016/j.jenvman.2021.113516,single intercropping; combined application; combined treatment; AMF treatment; Cd; compound treatment; GV inoculation,AMF-Glomus versiforme GV; arbuscular mycorrhizal fungus (AMF); AMF-Glomus versiforme,the growth accumulation photosynthesis activities; plant growth; the biomasses contents,contaminated soils,greenhouse pot,,Sphagneticola calendulacea; rice calendulacea S.; the intercropped plants-upland rice Pruski; upland rice calendulacea; calendulacea S.; upland rice; upland rice grains; intercropping fungus; upland rice phytoremediation; intercropping IC versiforme,,
10.1016/j.jtbi.2021.110859,As; co-inoculation; AM fungi,Arbuscular mycorrhizal (AM),plant biomass; plant growth,,,restoration; agricultural,,,
10.1038/s41598-021-94092-w,AMF The; the AMF; a soil inoculated inoculated; uninoculated controls; AMF,AMF inoculation; arbuscular mycorrhizal fungus (AMF),the height width; biomass; growth; yield,,,crops,,,
10.3389/fpls.2021.693044,mycorrhizal treatment; soils colonized colonized; intercropped Inoculated poplar-alfalfa; alone; inoculation,ectomycorrhizal inoculum; commercial arbuscular mycorrhizal,microbial biomass; plant growth,intercropped soils,field,remediation; contaminated; peri-urban; degraded,poplar alfalfa; illegal dumping; intercropping poplar alfalfa; Populus ×; intercropping; Intercropping,,
10.1007/s11356-021-15326-y,CA chelator; AMF-plant; CA; CA 0 kg levels; in combination; CA-treated soil; CA application; vanadium V; alone; combined treatments,arbuscular mycorrhizal fungi (AMF); AMF inoculation,dry weight; growth; Plant biomass; plant biomass,,greenhouse pot,remediation; heavy metal,,,
10.1007/s00128-021-03329-x,Agricultural arsenic; Different amounts >; arsenic As CAS; CAS; As CAS; As; medium; FM inoculation; combined FM; IT40; FM treatment; As Fe,arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae; Funneliformis mosseae iron,biomass length; plant biomass; growth maize; plant growth,As-polluted soils; contaminated soil,greenhouse,pollution,maize L.; maize; Zea mays,,
10.3390/plants10071333,the AMF; the treatment AMF3; The treatments; three treatments; DQI,arbuscular mycorrhiza fungus; Rhizophagus irregularis; Rhizophagus irregularis AMF3,weight; The biomass; dry weight,,greenhouse,agronomic,Cannabis sativa; cannabis,,
10.1007/s11356-021-15045-4,metal(loid)s ML; i.e. As; EO; Cd Cu Pb Zn; Cd Cu; Cd Pb; the EO; the coriander EO; ML; Cd; Sb; ML soil; mycorrhizal inoculum; commercial EO,arbuscular mycorrhizal fungus (AMF),metal(loid)s,contaminated soil,,contaminated,coriander; sativum; Salvia sclarea; Coriandrum,,
10.1002/jsfa.11382,microbial consortium; P low-phosphorus; MI control; treatments; 30 DAS; Chemical Industry; MF  ; the MI control; DAS; veldt grass; Microbial consortium inoculant; MF; control treatments; microbial consortium inoculant,,shoot weight; growth; growth uptake; root biomass,nutrient-poor soils; sandy soil,a glasshouse,,tall L. wheatgrass grown; Ehrharta calycina; tall fescue; grasses grass tall fescue L.; Thinopyrum; ponticum,,south-western Australia; Pasture farming
10.1007/s11356-021-14821-6,Fm Ri combination; Pb TF sub>2</sub; Fm; plant Pb features; soil Pb 300; As; mycorrhiza non-inoculation mosseae Fm intraradices Ri; mM Putrescine; tolerance P colonization Combination width malondialdehyde; putrescine mM; combination; Pb TF; Pb; mycorrhiza; Fm Ri,Rhizophagus intraradices; Funneliformis mosseae; iberica L.,biomass; the growth; growth; tolerance biomass; shoot biomass; the growth tolerance; growth Mycorrhiza improved greenness,Pb-contaminated soils,a greenhouse,heavy metals; soil contamination,iberica L.; Lallemantia iberica,,
10.3390/plants10050950,biochar; a control treatment; three factors; AMF communities; control treatment; biochar production; a control; water; biochar the produced; low-water; irrigation; sandy-loam clay-loam; without biochar; sandy-loam texture; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculum; indigenous consortium of,dry biomass,,greenhouse,agronomic; a lettuce crop,lettuce,,
10.3390/jof7050361,soil fertility; nodule; AMF eCO; inoculated; AM; As; with; without AM fungus; drought; AMF,arbuscular mycorrhizal fungi (AMF); bacterial; Rhizobium bv; Funneliformis; Rhizobium leguminosarum bv; leguminosarum bv; mosseae,biomass; Plant growth,,the field,,leguminous plants; Vicia; faba bean,,
10.1016/j.scitotenv.2021.147944,EO; ppm ppm Cd; TE-polluted soils; the EO; Pb Zn; Mycorrhizal inoculation; TE-polluted soil; TE-polluted areas,,biomass; production growth development; EO yields; biomass amounts higher,,,remediation; aromatic crops sage; agricultural,coriander; clary sage,,
10.1016/j.scitotenv.2021.147943,inoculation; inoculation treatments; sugar beet; non-amended; drought; biosolid compost; mycorrhizal inoculation; mycorrhizal fungi,ectomycorrhizal fungi; arbuscular mycorrhizal fungi; indigenous fungi; commercial inoculum,the biomass; plant biomass; plant growth,contaminated field; contaminated soils,field,contamination; toxicity,wild olive ectomycorrhizal; This task; wild olive,Mediterranean climate,
10.13287/j.1001-9332.202105.022,AMF Treatments non-inoculation; AMF non-inoculation -AMF; phosphorus fertilizer; Treatments inoculation; Treatments non-inoculation; AMF inoculation; inoculation; AMF,arbuscular mycorrhizal fungi (AMF),soybean aboveground biomass % root phosphorus; the growth; root biomasses,,field; pot field; pot,AMF legume crop utilization; legume crop,soybean,,
10.1111/ppl.13454,The co-inoculation single; inoculated plants; Co-inoculation; a well-watered WW control withholding; the inoculation; well-watered control; co-inoculation; contents phenol flavonoid glutathione-S-transferase; As; DS; R5 days; irrigation; drought; phenol flavonoid; AMF; co-inoculation single,Arbuscular Mycorrhizal Fungi (AMF); Bacillus amyloliquefaciens; Plant inoculation; amyloliquefaciens AMF B.; amyloliquefaciens B.; Bacillus amyloliquefaciens Fungi,biomass yield; biomass yield seed; plant biomass; yield,,,,soybean,,
10.1016/j.ecoenv.2021.112154,AMF BC N; BC; N fertilizer alone; Cd transfering; AMF BC; BC fertilizer; fertilizer; Cd; N fertilizer; copper Cu; fertilizer alone; AMF; biochar BC,arbuscular mycorrhizal fungi (AMF); Fungal inoculation; AMF inoculation,L. chicory growth nutrients; root biomass; shoot biomass plants; shoot biomass; chicory growth,Cd-contaminated soil,pot,,Cichorium,,
10.1007/s00572-021-01031-8,Inoculation; AM; A further treatment; AM Inoculation; OM; the controls; the presence absence; the OM; N recovery; presence absence; the Org treatment; nutritional stresses; Org treatment; multispecies AM inoculum; control treatments; without; AM fungi,arbuscular mycorrhizal (AM),N biomass; plant growth,P-limited soil,pots,,durum wheat,,
10.3389/fmicb.2021.618169,saprophyte; Rhizosphere microbial communities; bacterial fungal; rhizosphere microbial groups,arbuscular mycorrhizal fungi; Verticillium,fungal/bacterial biomass; total fungal biomass,,,crop,V. dahliae,,
10.1186/s12870-021-02949-z,P5CS PDH; biofertilizers; untreated plants; same conditions; restrained irrigation; AMF treatments; AMF japonicum; P5CS P5CR; GmSPS1 GmSuSy GmC-INV; R5; drought well-watered; drought; biofertilizers treatments; P5CS P5CR PDH P5CDH; drought both irrigation; AMF japonicum treatments,japonicum japonicum B.; Arbuscular Mycorrhizal Fungi (AMF); Bradyrhizobium japonicum japonicum; japonicum B.; Bradyrhizobium japonicum,yield growth; yield grain; yield growth soybean; growth; the yield growth; plant growth; plant biomass,,,,soybean; stressed soybean,agro,
10.1007/s11356-021-13755-3,AMF-treated plants; AMF-inoculated AMF-non-inoculated maintained; inoculated plants; Drought; half-strength Hoagland; AMF inoculation; drought; drought severe; PAL; inoculation; irrigated; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); AMF inoculation,biomass; yield; plant height; growth; tobacco growth; oil yield; number biomass,,a greenhouse,crop,Yunyan 87; Nicotiana,,
10.3389/fpls.2021.614162,female; females; AMF-associated; NaCl; without; AMF; mycorrhizal inoculation; Females,mosseae; Funneliformis; AMF inoculation; Arbuscular mycorrhizal fungi (AMF),biomass; growth the traits; growth the; plant growth; biomass allocated,,,,mulberry; Morus alba,,
10.1016/j.ecoenv.2021.112170,soil PCB; AM fungus; soil remediation; the additional inoculation; The additional inoculation,Funneliformis caledonium; caledonium F.; Arbuscular mycorrhizal (AM),the biomass acquisition; the ryegrass also biomass; plant growth,,greenhouse pot,degradation; degradation biphenyls growth; ryegrass; degradation PCB,ryegrass; Lolium perenne,,
10.1007/s00572-021-01028-3,non-aseptic; ectomycorrhizal; basidiospore inocula; germinated colonized; inoculated; aseptically inoculated; spore inoculation; 1-L culture; 1-L vessels; ectomycorrhizae; 250-mL culture; previously inoculated culture; 1-L vessel,Ectomycorrhizal pine,ectomycorrhizal significant biomass length,,,,T. matsutake,,
10.13227/j.hjkx.202008154,biochar; the RI BC; RI; biochar amendments; combined AM; combined amendment; the BC_RI; single AM; RI BC; a amendment amendment control; TN TK; treatment each; the RI BC_RI; TN TP; the BC; the RI; TN TP TK; the treatments various; The SEM; AM fungi; AM fungi BC_RI biochar plus; the inoculation; BC_RI; other microorganisms; biochar AM fungi; four treatments; BC; RI BC_RI inoculation; soil nutrient; TN; TK; RI BC_RI; fungi BC_RI biochar plus; single biochar,arbuscular mycorrhizal (AM); bacterial fungal; Rhizophagus intraradices,the biomass shoot element contents; biomass nutrient; plant growth; root biomass,Sandy soils; sandy soils; sandy soil,greenhouse pot,the ecological restoration,the Nitrariasi,,
10.1038/s41598-021-85497-8,ectomycorrhizal; inoculated; spore inoculation; earthworms; inoculation substrate; without earthworms; inoculation; earthworm,Tuber; Silver; silver; Tuber aestivum,grazing; root biomass,,greenhouse,,truffles; truffle; fir Silver; silver fir Mill; fir; hazel beech; aestivum; hazel beech etc; Abies alba; silver fir,,
10.1016/j.ecoenv.2021.112072,AMF inoculation; AMF viride T. dual inoculation; AMF viride,arbuscular mycorrhizal fungi (AMF); Trichoderma viride; Trichoderma,biomass; onions biomass,,,contamination; crop; agriculture,Allium cepa; onion plants; T. viride,,
10.1002/jeq2.20212,inoculated Plants inoculated; control; AM strains; AM-colonized; initially inoculated maintained; biofertilizers; water bodies,arbuscular mycorrhizal (AM); Rhizophagus intraradices; soil inoculum; Rhizophagus intraradices GC3 used,root biomass,Matanza-Riachuelo river; periodically flooded soils; urban soils; trace elements,the field; the field control; field; greenhouse,highly polluted; most environmentally degraded; toxic,bonaerensis plants; Asteraceae; this wetland; Arn; Buenos Aires,metropolitan areas,Argentina
10.3389/fpls.2021.617892,Ac tuberculata; AMFs; tenebrosum treatment; other treatments; inoculation effects; Gl; other treatment; AMFs inoculation native; Ac; inoculation geosporum; AMF inoculation native; inoculation; AMF,Ambispora gerdemanii; laevis; gerdemanii Acaulospora laevis; AMFs inoculation; AMF inoculation; manihotis Ambispora gerdemanii laevis; constrictum Funneliformis geosporum manihotis; Acaulospora laevis; Funneliformis geosporum; geosporum; Glomus formosanum; Arbuscular mycorrhiza fungi (AMFs); Septoglomus constrictum geosporum; geosporum Ac; Glomus formosanum tenebrosum Ac; Gl laevis; Septoglomus constrictum; geosporum Rhizophagus manihotis gerdemanii; Rhizophagus manihotis,growth metabolites; yield; the biomass roots; dry weight; roots growth; production biomass,,greenhouse,,Salvia miltiorrhiza,,
10.1007/s00248-021-01710-1,QQ87; the microbiome relationships; genotype; the control; control; soil microorganisms; the increase control; No treatment; mutualism-parasitism; AMF,arbuscular mycorrhizal fungi (AMF); Claroideoglomus eutunicatum; Rhizophagus clarus; eutunicatum increase Rhizophagus intraradices; Funneliformis mosseae; AMF treatments; eutunicatum increase C. intraradices; Claroideoglomus eutunicatum increase clarus; eutunicatum increase Rhizophagus clarus; Rhizophagus intraradices,height increased compared; crop yield; greater dry biomass; dry weight; plant height; height; plant growth,,greenhouse,crop; an important food crop,Chenopodium quinoa Willd; quinoa; Chenopodium quinoa; CQ119; Quinoa Willd,,
10.1007/s00128-021-03113-x,AMFs; AMF neither; AMFs the; Zn-contaminated; AMF intraradices,intraradices R. especially; intraradices R.; Funneliformis mosseae; Rhizophagus intraradices mosseae; mosseae F.; intraradices Funneliformis mosseae; Rhizophagus intraradices,increased biomass; bashfulgrass; growth; the biomass; biomass bashfulgrass; biomass more,7-fold; metal-polluted soil; Zn-contaminated soil,,Heavy metal,,,
10.1016/j.ecoenv.2021.111996,rhizosphere microbiome; fungi Penicillium; La stress; La10; AMF La500; AMF etunicatum; La. AMF; La10 treatment; AMF; La500 treatment,arbuscular mycorrhizal fungi (AMF); Microbacterium Streptomyces Penicillium; bacterial fungal; fungi Agrococcus Microbacterium Streptomyces; Planomicrobium Lysobacter Saccharothrix; Lysobacter Saccharothrix Agrococcus; Saccharothrix Agrococcus Microbacterium; Claroideoglomus etunicatum; Planomicrobium Lysobacter; Streptomyces Penicillium genus; Penicillium,dry weight; Plant biomass; the growth; plant growth,REEs-contaminated soils,,heavy metals; contaminated,maize,,
10.1016/j.envpol.2021.116499,depurated; inoculated soil; mycorrhizal fungi; Cd Cu; Cd Zn; with without plants; Soil inoculation; without earthworms; bio-fertilization; a Cd Zn Cu,earthworm inoculation,aerial biomass; biomass; body weight,slightly contaminated soil; Contaminated soils; whole earthworms bodies; contaminated sandy; contaminated soils,pot,earthworms; The element bioaccumulation; earthworms biomass; conventional agriculture,Lolium perenne; Aporrectodea caliginosa,,
10.3389/fmicb.2020.586050,mycorrhizal inoculation; inoculated; TE-aged; Cd; Pb; plant-growth promoting rhizobacteria,arbuscular mycorrhizal fungi,biomass; growth,trace elements; contaminated soil,,soil biotopes; agricultural; soil contamination,Salvia sclarea; clary sage,,
10.1016/j.sjbs.2020.09.053,combined inoculation; microbial consortium; chemical fertilizers; PSB plants produced; consortium; designated PSB; conventional; AMF+PSB; microbial inoculants; As; P fertilizer; alone; same time; PSB; AMF; three microbial inoculants,irregulare Pseudomonas putida combined; Pseudomonas putida; irregulare putida putida R.,crop yields; more biomass; the produced biomass i.e.,,field,crop; agricultural,P. putida; maize,,
10.1007/s11356-020-12131-x,generally colonized influences; the compartments inoculation treatment; treatment non-inoculation; 80 mm/h; the treatment non-inoculation; AMF,Arbuscular mycorrhizal fungus (AMF); AMF inoculation,the uptake biomass,,,red soils,Maize; maize; wasteland farmland,,Yunnan Plateau
10.3390/plants9121801,Inoculation; Aluminium; four; PGPR; fertilizer; inoculation; Al; Al water-soluble,rhizobia PGPR; arbuscular mycorrhizal fungus (AMF),biomass; seed biomass,Al-supplemented soil,,Al toxicity; very toxic,pea; Pea plants,,
10.1111/jam.14951,native PGPB; in combination; PGPB AMF; untreated control; PGPB AMF treatment; a biofertilizer; PGPB; AMF treatment; PGPB treatment; AMF,arbuscular mycorrhizal fungi (AMF); subtilis; native bacterial; AMF inoculation; Bacillus,biomass macronutrient micronutrient improvement; plant growth; yield,,field; greenhouse,agriculture,wheat,,
10.3389/fpls.2020.516818,water stress; the selected biofertilizers; combination composts alone; in combination; severe water; composts; wet; AMF2 soil; compost dual inoculation The; drought; non-inoculated non-amended; controls; composts alone; single multiple; the amended inoculated; single biofertilizers; consortia PGPR; single biofertilizers dual,arbuscular mycorrhizal fungi (AMF1 and; plant growth-promoting rhizobacteria,the biomass; plant growth,,,,(semi)-arid; Phoenix dactylifera,,
10.1016/j.envpol.2020.115980,uninoculated soil; Cd-mediated; Cd sup>-1</sup > catalase activities urease; AMF earthworms; Cd-stressed plants; Cd; Cd exposure; inoculation; AMF,arbuscular mycorrhizal fungi (AMF); Rhizophagus intraradices,plant biomass; biomass photosynthetic,polluted soil,,,nigrum; Solanum nigrum,,Earthworms fungi; Earthworms AMF
