"","study_id","TREATMENT"
"3634","10.1016/j.scitotenv.2017.09.066"," cd decabromodiphenyl"
"3635","10.1016/j.scitotenv.2017.09.066"," cd bde-209"
"3636","10.1016/j.scitotenv.2017.09.066"," cd"
"3637","10.1016/j.scitotenv.2017.09.066"," the combination"
"3638","10.1016/j.scitotenv.2017.09.066"," ri"
"3639","10.1016/j.scitotenv.2017.09.066"," without amf"
"3640","10.1016/j.scitotenv.2017.09.066"," inoculated"
"3641","10.1016/j.scitotenv.2017.09.066"," bde-209"
"3642","10.1016/j.bjm.2017.04.005","low salinity"
"3643","10.1016/j.bjm.2017.04.005"," exotic the inoculum"
"3644","10.1016/j.bjm.2017.04.005"," water stress"
"3645","10.1016/j.bjm.2017.04.005"," conditions drought"
"3646","10.1016/j.bjm.2017.04.005"," non-mycorrhized controls"
"3647","10.1016/j.bjm.2017.04.005"," inoculated plants inoculated"
"3648","10.1016/j.bjm.2017.04.005"," native amf"
"3649","10.1016/j.bjm.2017.04.005"," low high salinity"
"3650","10.1016/j.bjm.2017.04.005"," drought"
"3651","10.1016/j.bjm.2017.04.005"," water osmotic"
"3652","10.1016/j.bjm.2017.04.005"," when inoculated"
"3653","10.1016/j.bjm.2017.04.005"," larger external mycelia"
"3654","10.1016/j.bjm.2017.04.005"," high salinity"
"3655","10.1016/j.ecoenv.2017.06.059","amf inoculation"
"3656","10.1016/j.ecoenv.2017.06.059"," cfa-soil"
"3657","10.1016/j.ecoenv.2017.06.059"," cfa-soil admixtures"
"3658","10.1016/j.ecoenv.2017.06.059"," coal fly ash cfa"
"3659","10.1016/j.ecoenv.2017.06.059"," ta100 the"
"3660","10.1016/j.ecoenv.2017.06.059"," soil amendment"
"3661","10.1016/j.ecoenv.2017.06.059"," same conditions"
"3662","10.1016/j.ecoenv.2017.06.059"," sod gpx"
"3663","10.1016/j.ecoenv.2017.06.059"," ta100"
"3664","10.1016/j.ecoenv.2017.06.059"," the cfa"
"3665","10.1016/j.ecoenv.2017.06.059"," ash cfa"
"3666","10.1016/j.ecoenv.2017.06.059"," cfa-water"
"3667","10.1016/j.ecoenv.2017.06.059"," control soil"
"3668","10.1016/j.ecoenv.2017.06.059"," cfa"
"3669","10.1016/j.ecoenv.2017.06.059"," non-mutagenic against ta100"
"3670","10.1016/j.ecoenv.2017.06.059"," inoculation"
"3671","10.1016/j.jenvman.2017.06.036","dor dor bjerkandera adusta-transformed"
"3672","10.1016/j.jenvman.2017.06.036"," combination"
"3673","10.1016/j.jenvman.2017.06.036"," mobility p cd pb cu fe mn"
"3674","10.1016/j.jenvman.2017.06.036"," these treatments"
"3675","10.1016/j.jenvman.2017.06.036"," dor amf"
"3676","10.1016/j.jenvman.2017.06.036"," dor"
"3677","10.1016/j.jenvman.2017.06.036"," cd zn"
"3678","10.1016/j.jenvman.2017.06.036"," biotransformed dor"
"3679","10.1016/j.jenvman.2017.06.036"," amf combination"
"3680","10.1016/j.jenvman.2017.06.036"," cd pb"
"3681","10.1016/j.jenvman.2017.06.036"," cd cu"
"3682","10.1016/j.jenvman.2017.06.036"," combined treatment"
"3683","10.1016/j.jenvman.2017.06.036"," cu"
"3684","10.1016/j.jenvman.2017.06.036"," inoculation"
"3685","10.1016/j.jenvman.2017.06.036"," dor floccosa-transformed"
"3686","10.1016/j.jenvman.2017.06.036"," dor dor penicillium funalia"
"3687","10.1016/j.jenvman.2017.06.036"," cd pb zn"
"3688","10.1007/s11356-017-9463-x","combined"
"3689","10.1007/s11356-017-9463-x"," si am"
"3690","10.1007/s11356-017-9463-x"," am"
"3691","10.1007/s11356-017-9463-x"," as"
"3692","10.1007/s11356-017-9463-x"," am inoculation"
"3693","10.1007/s11356-017-9463-x"," genotype"
"3694","10.1007/s11356-017-9463-x"," as iii stresses"
"3695","10.1007/s11356-017-9463-x"," si rhizophagus"
"3696","10.1007/s11356-017-9463-x"," arsenic"
"3697","10.1007/s11356-017-9463-x"," pusa"
"3698","10.1007/s11356-017-9463-x"," si"
"3699","10.1007/s11356-017-9463-x"," arsenic as"
"3700","10.3389/fpls.2017.00931","the inoculation"
"3701","10.3389/fpls.2017.00931"," liquiritin"
"3702","10.3389/fpls.2017.00931"," as"
"3703","10.3389/fpls.2017.00931"," cu"
"3704","10.3389/fpls.2017.00931"," washed river pumice"
"3705","10.3389/fpls.2017.00931"," nutrient deficiency"
"3706","10.1039/c7mt00072c","control plants"
"3707","10.1039/c7mt00072c"," amf"
"3708","10.1039/c7mt00072c"," cu less"
"3709","10.1039/c7mt00072c"," mineral nutrient"
"3710","10.1039/c7mt00072c"," amf coronatum"
"3711","10.1039/c7mt00072c"," cu μm"
"3712","10.1039/c7mt00072c"," cu"
"3713","10.1007/s00572-017-0778-8","single dual mix"
"3714","10.1007/s00572-017-0778-8"," amf"
"3715","10.1007/s00572-017-0778-8"," amf sourced"
"3716","10.1007/s00572-017-0778-8"," alone"
"3717","10.1007/s00572-017-0778-8"," salt tolerant-pusa"
"3718","10.1007/s00572-017-0778-8"," salinity stress"
"3719","10.1007/s00572-017-0778-8"," nacl"
"3720","10.1007/s00572-017-0778-8"," nacl mm"
"3721","10.1007/s00572-017-0778-8"," salt sensitive-paras"
"3722","10.1007/s00572-017-0778-8"," pusa"
"3723","10.1007/s00572-017-0778-8"," inoculation"
"3724","10.1007/s00572-017-0778-8"," in combination"
"3725","10.1007/s00572-017-0778-8"," single"
"3726","10.1007/s00572-017-0778-8"," amf all"
"3727","10.1007/s00248-017-0999-6","a third treatment"
"3728","10.1007/s00248-017-0999-6"," changed-amf community"
"3729","10.1007/s00248-017-0999-6"," amf"
"3730","10.1007/s00248-017-0999-6"," four invasive"
"3731","10.1007/s00248-017-0999-6"," control"
"3732","10.1007/s00248-017-0999-6"," native soil inoculated inoculated"
"3733","10.1007/s00248-017-0999-6"," soil microorganisms"
"3734","10.1007/s00248-017-0999-6"," invasive plants"
"3735","10.1007/s00248-017-0999-6"," sterilized soil inoculum"
"3736","10.1007/s00248-017-0999-6"," three"
"3737","10.1007/s00248-017-0999-6"," soil native"
"3738","10.1080/15226514.2017.1284751","pb zn cu accumulation translocation plant"
"3739","10.1080/15226514.2017.1284751"," pb zn cu cd the concentrations"
"3740","10.1080/15226514.2017.1284751"," without mycorrhizae"
"3741","10.1080/15226514.2017.1284751"," mycorrhizal fungi"
"3742","10.1080/15226514.2017.1284751"," pb cu"
"3743","10.1080/15226514.2017.1284751"," cd"
"3744","10.1080/15226514.2017.1284751"," pb cd"
"3745","10.1080/15226514.2017.1284751"," mycorrhizae"
"3746","10.1016/j.scitotenv.2017.05.047","four growth"
"3747","10.1016/j.scitotenv.2017.05.047"," < ethanol d-h"
"3748","10.1016/j.scitotenv.2017.05.047"," cd grain"
"3749","10.1016/j.scitotenv.2017.05.047"," amf"
"3750","10.1016/j.scitotenv.2017.05.047"," cd extractable nacl"
"3751","10.1016/j.scitotenv.2017.05.047"," cd o extractable"
"3752","10.1016/j.scitotenv.2017.05.047"," cd concentrations o extractable"
"3753","10.1016/j.scitotenv.2017.05.047"," cd nacl"
"3754","10.1016/j.scitotenv.2017.05.047"," cd"
"3755","10.1016/j.scitotenv.2017.05.047"," cd concentration extractable nacl"
"3756","10.1016/j.scitotenv.2017.05.047"," mycorrhizal treatments"
"3757","10.1016/j.scitotenv.2017.05.047"," mycorrhizal inoculation"
"3758","10.3389/fpls.2017.00684","two-compartment rhizoboxes"
"3759","10.3389/fpls.2017.00684"," phytate"
"3760","10.3389/fpls.2017.00684"," non-inoculated inoculated"
"3761","10.1007/s00572-017-0775-y","am root"
"3762","10.1007/s00572-017-0775-y"," 24.82″"
"3763","10.1007/s00572-017-0775-y"," mycorrhiza"
"3764","10.1007/s00572-017-0775-y"," drought"
"3765","10.1007/s00572-017-0775-y"," soil microorganisms"
"3766","10.1007/s00572-017-0775-y"," free living"
"3767","10.1007/s00572-017-0775-y"," pseudomonas am plus"
"3768","10.1007/s00572-017-0775-y"," phosphate solubilizing bacterium"
"3769","10.1007/s00572-017-0775-y"," bacterial-fungal"
"3770","10.1007/s00572-017-0775-y"," three factors"
"3771","10.1007/s00572-017-0775-y"," irrigation water-limiting"
"3772","10.1007/s00572-017-0775-y"," irrigation regimes"
"3773","10.1007/s00572-017-0775-y"," am fungi"
"3774","10.1007/s00572-017-0775-y"," control plants"
"3775","10.1007/s00572-017-0775-y"," psb"
"3776","10.1007/s00572-017-0775-y"," colonized"
"3777","10.1007/s00572-017-0775-y"," inoculated non-inoculated"
"3778","10.1007/s00572-017-0775-y"," inoculation"
"3779","10.1007/s00572-017-0775-y"," different irrigation regimes"
"3780","10.1007/s00572-017-0775-y"," irrigation"
"3781","10.1007/s00572-017-0775-y"," inoculated plants"
"3782","10.1007/s00572-017-0775-y"," irrigation mm respectively"
"3783","10.1007/s00572-017-0775-y"," well-watered mild"
"3784","10.3389/fpls.2017.00517","pb treatments"
"3785","10.3389/fpls.2017.00517"," pb water-soluble"
"3786","10.3389/fpls.2017.00517"," pb inactive"
"3787","10.3389/fpls.2017.00517"," pb"
"3788","10.3389/fpls.2017.00517"," pb protein-integrated phosphate"
"3789","10.3389/fpls.2017.00517"," inoculated"
"3790","10.1016/j.envpol.2017.03.058","cd zn particularly"
"3791","10.1016/j.envpol.2017.03.058"," pb cd zn"
"3792","10.1016/j.envpol.2017.03.058"," amf"
"3793","10.1016/j.envpol.2017.03.058"," microbial inoculation"
"3794","10.1016/j.envpol.2017.03.058"," chemical fertilizers"
"3795","10.1016/j.envpol.2017.03.058"," fertilization"
"3796","10.1016/j.envpol.2017.03.058"," pb cd"
"3797","10.1016/j.envpol.2017.03.058"," microbial fixation"
"3798","10.1016/j.envpol.2017.03.058"," fertiliser treatments"
"3799","10.1007/s00572-017-0768-x","amf co-inoculated sativus sp."
"3800","10.1007/s00572-017-0768-x"," amf"
"3801","10.1007/s00572-017-0768-x"," plant-endophyte consortia"
"3802","10.1007/s00572-017-0768-x"," dual inoculation"
"3803","10.1007/s00572-017-0768-x"," amf non-inoculated"
"3804","10.1007/s00572-017-0768-x"," single endophyte"
"3805","10.1007/s00572-017-0768-x"," inoculation"
"3806","10.1007/s00572-017-0768-x"," single"
"3807","10.1007/s00572-017-0768-x"," co-inoculated with var"
"3808","10.1002/ecy.1793","ammonium nitrate glycine"
"3809","10.1002/ecy.1793"," ammonium glycine"
"3810","10.1002/ecy.1793"," am-associated sub>2</sub"
"3811","10.1002/ecy.1793"," n recovery"
"3812","10.1007/s11356-017-8649-6","soil microbial biomass"
"3813","10.1007/s11356-017-8649-6"," am fungal"
"3814","10.1007/s11356-017-8649-6"," am hyphae"
"3815","10.1007/s11356-017-8649-6"," am mycelium"
"3816","10.1007/s11356-017-8649-6"," inoculated"
"3817","10.1007/s11356-017-8649-6"," soil nutrient"
"3818","10.1007/s11356-017-8649-6"," am fungi"
"3819","10.1007/s11356-017-8649-6"," alone"
"3820","10.1139/cjm-2016-0597","pes ="
"3821","10.1139/cjm-2016-0597"," rutin"
"3822","10.1139/cjm-2016-0597"," pes = 0.001"
"3823","10.1139/cjm-2016-0597"," rutin polysaccharide polysaccharide acids"
"3824","10.1139/cjm-2016-0597"," acidic polysaccharide"
"3825","10.1139/cjm-2016-0597"," salt stress"
"3826","10.1139/cjm-2016-0597"," inoculation"
"3827","10.1139/cjm-2016-0597"," pes"
"3828","10.1139/cjm-2016-0597"," with"
"3829","10.1139/cjm-2016-0597"," amino acids"
"3830","10.1139/cjm-2016-0597"," without salt stress"
"3831","10.2134/jeq2016.04.0125","different irrigation regimes %"
"3832","10.2134/jeq2016.04.0125"," treatments"
"3833","10.2134/jeq2016.04.0125"," am fungal"
"3834","10.2134/jeq2016.04.0125"," am"
"3835","10.2134/jeq2016.04.0125"," dts"
"3836","10.2134/jeq2016.04.0125"," same corn"
"3837","10.2134/jeq2016.04.0125"," soil inocula"
"3838","10.2134/jeq2016.04.0125"," biomass dts"
"3839","10.2134/jeq2016.04.0125"," irrigation regimes"
"3840","10.2134/jeq2016.04.0125"," drought"
"3841","10.2134/jeq2016.04.0125"," am fungi"
"3842","10.2134/jeq2016.04.0125"," gm"
"3843","10.1016/j.plaphy.2017.01.001","znonps treatment"
"3844","10.1016/j.plaphy.2017.01.001"," rhizospheric amf"
"3845","10.1016/j.plaphy.2017.01.001"," enps"
"3846","10.1016/j.plaphy.2017.01.001"," amf"
"3847","10.1016/j.plaphy.2017.01.001"," controls"
"3848","10.1016/j.plaphy.2017.01.001"," nanoparticles znonps treatments"
"3849","10.1016/j.plaphy.2017.01.001"," znonps treatments"
"3850","10.1002/jsfa.8201","moderate water"
"3851","10.1002/jsfa.8201"," chemical industry"
"3852","10.1002/jsfa.8201"," am fungi"
"3853","10.1002/jsfa.8201"," severe water"
"3854","10.1002/jsfa.8201"," without water"
"3855","10.1002/jsfa.8201"," drought"
"3856","10.1002/jsfa.8201"," inoculated"
"3857","10.1002/jsfa.8201"," inoculation"
"3858","10.1002/jsfa.8201"," plants inoculated inoculated"
"3859","10.1016/j.scitotenv.2016.12.031","an am fungal fungal treatment"
"3860","10.1016/j.scitotenv.2016.12.031"," treatments"
"3861","10.1016/j.scitotenv.2016.12.031"," combination"
"3862","10.1016/j.scitotenv.2016.12.031"," inoculums"
"3863","10.1016/j.scitotenv.2016.12.031"," mycorrhizal fungi"
"3864","10.1016/j.scitotenv.2016.12.031"," am fungal treatment"
"3865","10.1016/j.scitotenv.2016.12.031"," inoculations"
"3866","10.1016/j.scitotenv.2016.12.031"," microbial inoculations"
"3867","10.1016/j.scitotenv.2016.12.031"," depths deeper"
"3868","10.1016/j.scitotenv.2016.12.031"," microbial mixture"
"3869","10.3389/fpls.2016.01901","moderate nutrient availability"
"3870","10.3389/fpls.2016.01901"," combined"
"3871","10.3389/fpls.2016.01901"," rhizobia co-inoculation"
"3872","10.3389/fpls.2016.01901"," amf co-inoculation"
"3873","10.3389/fpls.2016.01901"," co-inoculation"
"3874","10.3389/fpls.2016.01901"," rhizobia amf"
"3875","10.3389/fpls.2016.01901"," when intercropped"
"3876","10.3389/fpls.2016.01901"," am"
"3877","10.3389/fpls.2016.01901"," co-inoculations"
"3878","10.3389/fpls.2016.01901"," cmns"
"3879","10.3389/fpls.2016.01901"," n fixation"
"3880","10.3389/fpls.2016.01901"," plus"
"3881","10.3389/fpls.2016.01901"," nutrient treatments"
"3882","10.3389/fpls.2016.01901"," uninoculated controls"
"3883","10.3389/fpls.2016.01901"," various inoculation treatments"
"3884","10.3389/fpls.2016.01901"," co-inoculation conditions"
"3885","10.3389/fpls.2016.01901"," alone"
"3886","10.1371/journal.pone.0167014","mixed inoculation"
"3887","10.1371/journal.pone.0167014"," single mixed inoculations"
"3888","10.1371/journal.pone.0167014"," inoculated plants"
"3889","10.1371/journal.pone.0167014"," pgpb"
"3890","10.1371/journal.pone.0167014"," amf"
"3891","10.1371/journal.pone.0167014"," chemical fertilizers"
"3892","10.1371/journal.pone.0167014"," irrigated lowland"
"3893","10.1371/journal.pone.0167014"," sterile soil"
"3894","10.1371/journal.pone.0167014"," amf pgpb"
"3895","10.1371/journal.pone.0167014"," fertilizer pesticides"
"3896","10.1371/journal.pone.0167014"," microbes optimal combinations"
"3897","10.1371/journal.pone.0167014"," crop inoculation"
"3898","10.1371/journal.pone.0167014"," four o."
"3899","10.1371/journal.pone.0167014"," inoculation"
"3900","10.1371/journal.pone.0167014"," irrigated"
"3901","10.1371/journal.pone.0167014"," non-inoculated"
"3902","10.1016/j.bjm.2016.10.012","the treatments"
"3903","10.1016/j.bjm.2016.10.012"," treatment this"
"3904","10.1016/j.bjm.2016.10.012"," amf"
"3905","10.1016/j.bjm.2016.10.012"," am"
"3906","10.1016/j.bjm.2016.10.012"," temperature combinations"
"3907","10.1016/j.bjm.2016.10.012"," four light"
"3908","10.1007/s00442-016-3771-6","am fungal"
"3909","10.1007/s00442-016-3771-6"," soil inoculated inoculated"
"3910","10.1007/s00442-016-3771-6"," mycorrhizal fungi"
"3911","10.1007/s00442-016-3771-6"," ce"
"3912","10.1007/s00442-016-3771-6"," mgr"
"3913","10.1007/s00442-016-3771-6"," am fungi"
"3914","10.1007/s00442-016-3771-6"," inoculation"
"3915","10.1007/s00442-016-3771-6"," non-inoculated"
"3916","10.1080/15226514.2016.1244157","va ba + va"
"3917","10.1080/15226514.2016.1244157"," the inoculation"
"3918","10.1080/15226514.2016.1244157"," ba"
"3919","10.1080/15226514.2016.1244157"," single inoculation"
"3920","10.1080/15226514.2016.1244157"," pf pf+va"
"3921","10.1080/15226514.2016.1244157"," suitable combinations control"
"3922","10.1080/15226514.2016.1244157"," combinations pgpr"
"3923","10.1080/15226514.2016.1244157"," va"
"3924","10.1080/15226514.2016.1244157"," cd pb"
"3925","10.1080/15226514.2016.1244157"," single ba"
"3926","10.1080/15226514.2016.1244157"," cd cu pb zn"
"3927","10.1080/15226514.2016.1244157"," combined ba + pf"
"3928","10.1080/15226514.2016.1244157"," strains ba va strains"
"3929","10.1080/15226514.2016.1244157"," cd zn"
"3930","10.1080/15226514.2016.1244157"," pf ba + pf + va inoculation"
"3931","10.1080/15226514.2016.1244157"," ba va strains"
"3932","10.1080/15226514.2016.1244157"," control"
"3933","10.1080/15226514.2016.1244157"," cd cu"
"3934","10.1080/15226514.2016.1244157"," the medium"
"3935","10.1080/15226514.2016.1244157"," combined inoculation"
"3936","10.1016/j.chemosphere.2016.09.145","diluting cd"
"3937","10.1016/j.chemosphere.2016.09.145"," nm"
"3938","10.1016/j.chemosphere.2016.09.145"," gt inoculation"
"3939","10.1016/j.chemosphere.2016.09.145"," n addition"
"3940","10.1016/j.chemosphere.2016.09.145"," cd exchangeable"
"3941","10.1016/j.chemosphere.2016.09.145"," inoculation treatment"
"3942","10.1016/j.chemosphere.2016.09.145"," non-mycorrhizal inoculation"
"3943","10.1016/j.chemosphere.2016.09.145"," n fertilizer"
"3944","10.1016/j.chemosphere.2016.09.145"," cd"
"3945","10.1016/j.chemosphere.2016.09.145"," inoculation all treatment"
"3946","10.1016/j.chemosphere.2016.09.145"," amf fertilizer"
"3947","10.1016/j.chemosphere.2016.09.145"," inoculation"
"3948","10.1016/j.chemosphere.2016.09.145"," nutrient deficiency"
"3949","10.1016/j.chemosphere.2016.09.145"," mycorrhizal inoculation"
"3950","10.1002/ece3.2456","aggregated disintegrated"
"3951","10.1002/ece3.2456"," early successional"
"3952","10.1002/ece3.2456"," low srl"
"3953","10.1002/ece3.2456"," soil exploration"
"3954","10.1002/ece3.2456"," soil microbiome"
"3955","10.1002/ece3.2456"," four grasses"
"3956","10.3389/fmicb.2016.01246","amf inoculated"
"3957","10.3389/fmicb.2016.01246"," c4 mycorrhizal plants"
"3958","10.3389/fmicb.2016.01246"," salinity"
"3959","10.3389/fmicb.2016.01246"," single mixed amf"
"3960","10.3389/fmicb.2016.01246"," c3 c4 plants plants"
"3961","10.3389/fmicb.2016.01246"," amf"
"3962","10.3389/fmicb.2016.01246"," corresponding control"
"3963","10.3389/fmicb.2016.01246"," high"
"3964","10.3389/fmicb.2016.01246"," c4"
"3965","10.3389/fmicb.2016.01246"," saline conditions"
"3966","10.3389/fmicb.2016.01246"," c4 plants"
"3967","10.3389/fmicb.2016.01246"," mycorrhizal inoculation"
"3968","10.3389/fmicb.2016.01246"," c3 c4 plants"
"3969","10.3389/fmicb.2016.01246"," sodium"
"3970","10.3389/fmicb.2016.01246"," amf-inoculated"
"3971","10.3389/fmicb.2016.01246"," inoculated plants"
"3972","10.3389/fmicb.2016.01246"," c3 c4"
"3973","10.3389/fmicb.2016.01246"," single inoculants"
"3974","10.3389/fmicb.2016.01246"," salt stress"
"3975","10.3389/fmicb.2016.01246"," low"
"3976","10.3389/fmicb.2016.01246"," salinity stress"
"3977","10.13277/j.hjkx.2016.08.049","zno"
"3978","10.13277/j.hjkx.2016.08.049"," phosphate fertilizer"
"3979","10.13277/j.hjkx.2016.08.049"," low phosphorus conditions"
"3980","10.13277/j.hjkx.2016.08.049"," am inoculation"
"3981","10.13277/j.hjkx.2016.08.049"," phosphorus application"
"3982","10.13277/j.hjkx.2016.08.049"," excess"
"3983","10.13277/j.hjkx.2016.08.049"," without am fungus"
"3984","10.13277/j.hjkx.2016.08.049"," cement rubber"
"3985","10.13277/j.hjkx.2016.08.049"," am fungi"
"3986","10.13277/j.hjkx.2016.08.049"," ceramics glass"
"3987","10.13277/j.hjkx.2016.08.049"," phosphorus fertilization"
"3988","10.1080/15226514.2016.1207596","cu zn"
"3989","10.1080/15226514.2016.1207596"," amf"
"3990","10.1080/15226514.2016.1207596"," amf certain"
"3991","10.1080/15226514.2016.1207596"," the control"
"3992","10.1080/15226514.2016.1207596"," plants inoculated inoculated"
"3993","10.3389/fmicb.2016.01030","amf-inoculated"
"3994","10.3389/fmicb.2016.01030"," 6-month-old"
"3995","10.3389/fmicb.2016.01030"," amf"
"3996","10.3389/fmicb.2016.01030"," as"
"3997","10.3389/fmicb.2016.01030"," taproot length"
"3998","10.3389/fmicb.2016.01030"," non-amf-inoculated"
"3999","10.3389/fmicb.2016.01030"," these tested amfs effects"
"4000","10.3389/fmicb.2016.01030"," taproot"
"4001","10.1080/15226514.2016.1207602","an amf inoculation"
"4002","10.1080/15226514.2016.1207602"," mycorrhizal fungus"
"4003","10.1080/15226514.2016.1207602"," the mr"
"4004","10.1080/15226514.2016.1207602"," mr remediation"
"4005","10.1080/15226514.2016.1207602"," inoculated inoculated"
"4006","10.1080/15226514.2016.1207602"," not inoculated"
"4007","10.1080/15226514.2016.1207602"," multimetal-polluted conditions"
"4008","10.1080/15226514.2016.1207602"," an mr"
"4009","10.1080/15226514.2016.1207602"," cd pb"
"4010","10.1080/15226514.2016.1207602"," a nontoxic jatropha jatropha l. genotype"
"4011","10.1080/15226514.2016.1207602"," mr"
"4012","10.1080/15226514.2016.1207602"," nontoxic jatropha genotype"
"4013","10.1080/15226514.2016.1207602"," inoculation"
"4014","10.1016/j.ecoenv.2016.06.012","arsenic"
"4015","10.1016/j.ecoenv.2016.06.012"," amf"
"4016","10.1016/j.ecoenv.2016.06.012"," multiple stressors"
"4017","10.1016/j.ecoenv.2016.06.012"," as doses"
"4018","10.1016/j.ecoenv.2016.06.012"," as"
"4019","10.1016/j.ecoenv.2016.06.012"," m. phaseolina"
"4020","10.1016/j.ecoenv.2016.06.012"," ript"
"4021","10.1016/j.ecoenv.2016.06.012"," arsenic as"
"4022","10.1016/j.ecoenv.2016.06.012"," as pathogen"
"4023","10.1016/j.ecoenv.2016.06.012"," inoculation"
"4024","10.1016/j.ecoenv.2016.06.012"," the different assessed treatments"
"4025","10.1186/s12862-016-0698-9","combinations allopatric any"
"4026","10.1186/s12862-016-0698-9"," am fungal"
"4027","10.1186/s12862-016-0698-9"," am inoculation"
"4028","10.1186/s12862-016-0698-9"," soil sympatric combinations fungi"
"4029","10.1186/s12862-016-0698-9"," combinations novel"
"4030","10.1186/s12862-016-0698-9"," am fungi"
"4031","10.1186/s12862-016-0698-9"," mycorrhizal inoculation"
"4032","10.1007/s00572-016-0712-5","without am fungi"
"4033","10.1007/s00572-016-0712-5"," inocula native"
"4034","10.1007/s00572-016-0712-5"," am fungal"
"4035","10.1007/s00572-016-0712-5"," am"
"4036","10.1007/s00572-016-0712-5"," the reference inoculum"
"4037","10.1007/s00572-016-0712-5"," inoculated"
"4038","10.1007/s00572-016-0712-5"," mycorrhizae"
"4039","10.1007/s00572-016-0712-5"," am fungal reference"
"4040","10.1007/s00572-016-0712-5"," am fungi"
"4041","10.1007/s00572-016-0712-5"," native reference"
"4042","10.1007/s11356-016-6941-5","combined"
"4043","10.1007/s11356-016-6941-5"," soc biomass"
"4044","10.1007/s11356-016-6941-5"," pangzhuang"
"4045","10.1007/s11356-016-6941-5"," amf"
"4046","10.1007/s11356-016-6941-5"," amf combined"
"4047","10.1007/s11356-016-6941-5"," as"
"4048","10.1007/s11356-016-6941-5"," fly ash gangue"
"4049","10.1007/s11356-016-6941-5"," soc"
"4050","10.1007/s11356-016-6941-5"," inoculated"
"4051","10.1007/s00248-016-0779-8","a possibly sink"
"4052","10.1007/s00248-016-0779-8"," three"
"4053","10.1007/s00248-016-0779-8"," inoculation"
"4054","10.1007/s00248-016-0779-8"," ambient temperatures"
"4055","10.1007/s00248-016-0779-8"," no mycorrhizae"
"4056","10.15517/rbt.v64i2.20289","presence absence"
"4057","10.15517/rbt.v64i2.20289"," wet"
"4058","10.15517/rbt.v64i2.20289"," dry treatment"
"4059","10.15517/rbt.v64i2.20289"," inoculated previously"
"4060","10.15517/rbt.v64i2.20289"," sheep goats"
"4061","10.15517/rbt.v64i2.20289"," coverage"
"4062","10.15517/rbt.v64i2.20289"," uninoculated"
"4063","10.15517/rbt.v64i2.20289"," a low water availability treatment"
"4064","10.15517/rbt.v64i2.20289"," wet w dry"
"4065","10.15517/rbt.v64i2.20289"," dm-"
"4066","10.15517/rbt.v64i2.20289"," water"
"4067","10.15517/rbt.v64i2.20289"," wm+"
"4068","10.15517/rbt.v64i2.20289"," wm+ dm+"
"4069","10.15517/rbt.v64i2.20289"," the presence m+ absence m-"
"4070","10.15517/rbt.v64i2.20289"," low water treatment"
"4071","10.15517/rbt.v64i2.20289"," amf"
"4072","10.15517/rbt.v64i2.20289"," inoculation"
"4073","10.15517/rbt.v64i2.20289"," inoculated plants"
"4074","10.15517/rbt.v64i2.20289"," treatment each"
"4075","10.15517/rbt.v64i2.20289"," inoculating"
"4076","10.15517/rbt.v64i2.20289"," drought deterioration"
"4077","10.15517/rbt.v64i2.20289"," native amf"
"4078","10.15517/rbt.v64i2.20289"," the mycorrhizal treatment"
"4079","10.15517/rbt.v64i2.20289"," uninoculated plants"
"4080","10.15517/rbt.v64i2.20289"," catclaw"
"4081","10.15517/rbt.v64i2.20289"," other treatments"
"4082","10.1016/j.crvi.2016.04.009","rwc"
"4083","10.1016/j.crvi.2016.04.009"," non-sterilized"
"4084","10.1016/j.crvi.2016.04.009"," non-mycorhized"
"4085","10.1016/j.crvi.2016.04.009"," sterilized non-sterilized"
"4086","10.1016/j.crvi.2016.04.009"," water regimes"
"4087","10.1016/j.crvi.2016.04.009"," am fungal"
"4088","10.1016/j.crvi.2016.04.009"," mycorrhizal inoculation"
"4089","10.1016/j.crvi.2016.04.009"," the conservation reestablishment"
"4090","10.1016/j.crvi.2016.04.009"," water"
"4091","10.1016/j.crvi.2016.04.009"," against water"
"4092","10.1016/j.crvi.2016.04.009"," sterilized soils independently"
"4093","10.1016/j.crvi.2016.04.009"," inoculation"
"4094","10.1016/j.crvi.2016.04.009"," am fungi"
"4095","10.1016/j.crvi.2016.04.009"," ds"
"4096",NA,"combining"
"4097",NA," actinomycetes"
"4098",NA," am fungi"
"4099",NA," culturable fungi"
"4100",NA," am inoculum"
"4101",NA," culturable bacteria"
"4102",NA," sterilized soil"
"4103",NA," induction treatment"
"4104",NA," inoculation"
"4105",NA," inoculated"
"4106",NA," rhizosphere soil microorganism"
"4107","10.1007/s00572-016-0699-y","fungi ectomycorrhizal"
"4108","10.1007/s00572-016-0699-y"," cd pb"
"4109","10.1007/s00572-016-0699-y"," cd cu"
"4110","10.1007/s00572-016-0699-y"," mock-inoculated plants"
"4111","10.1007/s00572-016-0699-y"," cd zn pb cu"
"4112","10.1007/s00572-016-0699-y"," inoculated"
"4113","10.1007/s00572-016-0699-y"," endophytic"
"4114","10.1021/acs.jafc.6b00408","inoculation"
"4115","10.1021/acs.jafc.6b00408"," amf"
"4116",NA,"p"
"4117",NA," ce-contaminated kg(-1"
"4118",NA," fm"
"4119",NA," am"
"4120",NA," inoculation"
"4121",NA," ga"
"4122",NA," the treatment"
"4123",NA," am fungi"
"4124",NA," ce"
"4125","10.1371/journal.pone.0153378","inoculated measured"
