"","DOI","TREATMENT","INOCTYPE","RESPONSE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION","journal"
"120","10.1038/s41598-019-50354-2","colonized; unsterilized; inoculation; AM fungi; Inoculation","commercial formulation; arbuscular mycorrhizal (AM)","yields; plant biomass; rice yields; plant growth; growth","field soils","field greenhouse",NA,"rice",NA,"Louisiana States; United States","Scientific Reports"
"121","10.1016/j.chemosphere.2019.124710","fertilizer; biochar inoculants; residual biochar fertilizer; phosphorus solubilizing bacteria; Biochar; biochar P fertilizer; PSB; biochar + mycorrhizae; biochar P; biochar P all; microbial inoculation; P-fertilization inoculantion; biochar amendments; P-fertilization; biochar; B + M; mycorrhizal inoculation","arbuscular mycorrhizal fungs (AMF); microbial inoculants","plant biomass; plant growth; biomass shoot irrespective",NA,NA,NA,"Zea mays; maize",NA,NA,"Chemosphere"
"122","10.1007/s00572-019-00914-1","non-sterilized; AMF; soil microbial communities; sterilized inoculated; rhizosphere microbial; soil sterilized ray inoculated; sterilized","Glomus; commercial AMF; AMF inoculation; Arbuscular mycorrhizal fungi (AMF)","plant biomass; root biomasses",NA,NA,NA,"ryegrass tall fescue; clover alfalfa ryegrass; clover alfalfa; alfalfa ryegrass fescue",NA,NA,"Mycorrhiza"
"123","10.3390/microorganisms7090289","Liaotian5; AM non-AM; AMF; NaCl levels; AM inoculation; NaCl; salinity; AM plants; environmental stresses; different NaCl addition levels","Acaulospora; Arbuscular mycorrhizal (AM) fungi (AMF)","plant biomass; biomass; tolerance growth; high biomass","saline soil",NA,NA,"sweet sorghum; bicolor L. Moench; Sweet sorghum; Sorghum bicolor",NA,NA,"Microorganisms"
"124","10.1007/s42770-019-00125-y","inoculation; soil AMF; AMF native; AMF","arbuscular mycorrhizal fungal (AMF)","dry biomass",NA,NA,NA,"M. tenuiflora plants; Prosopis juliflora; tenuiflora M.; P. juliflora","semi-arid region","Brazilian","Brazilian Journal of Microbiology"
"125","10.1002/ecy.2855","AM fungal; single AM fungal; non-inoculated controls; early successional; response; AM fungi","arbuscular mycorrhizal (AM); fungal inocula","plant biomass; the growth",NA,"greenhouse","successional","grassland",NA,"North America","Ecology"
"126","10.1016/j.ecoenv.2019.109476","AM fungi treatment; AM; inoculating; DOC MBC ROC; fungi AM fungi treatment; AM fungi","arbuscular mycorrhiza (AM); Glomus etunicatum","microbial biomass",NA,"potted",NA,"the maize rhizosphere; maize",NA,NA,"Ecotoxicology and Environmental Safety"
"127","10.1016/j.chemosphere.2019.06.160","biochar P treatments; biochar mycorrhizal inoculation; biochar all level treatments; fertilizer; Cd exchangeable; N deficiency; biochar P fertilizer; P fertilizer; biochar application; Cd; AMF grown; phosphorus P fertilizer fungi; biochar fertilizer; biochar amendments; biochar; cadmium; mycorrhizal inoculation","AMF inoculation; arbuscular mycorrhizal fungi (AMF)","the shoot biomass contents; the biomass uptake; the yield absorption; growth","acidic soil; acidic Cd-contaminated",NA,NA,"Lolium multiflorum; multiflorum  ",NA,NA,"Chemosphere"
"128","10.1016/j.jhazmat.2019.120813","particularly salinity; microbial inoculation; in combination; salinity stress; sodium >; Inoculation; alone","Claroideoglomus; arbuscular mycorrhizal fungus (AMF); claroideum; Pseudomonas libanensis","plant growth","polluted soils; contaminated saline; metal-polluted saline",NA,NA,"Helianthus annuus; P. libanensis",NA,NA,"Journal of Hazardous Materials"
"129","10.1111/nph.15993","tree-focused stand-scale; altered EMF; EMF","EMF inocula; Geopora; ectomycorrhizal fungi (EMF); Tuber","Seedling biomass; growth",NA,NA,"Successive droughts","young trees; pinyon; tree; trees; pinyon pine",NA,"southwestern United","New Phytologist"
"130","10.1016/j.envpol.2019.03.060","without mycorrhizae; fertilized; income; organic compost; Mariana; mycorrhizae; four doses; with; the control; Inoculation","zizanioides  ;   C. Citratus","biomass",NA,"The pots","incalculable environmental degradation","zizanioides   C. especially; Chrysopogon zizanioides; Cymbopogon citratus; the Fundão; zizanioides associated   C.; Cymbopogon winterianus",NA,"Brazil","Environmental Pollution"
"131","10.1039/c8ra10442e","AMF inoculation; treatment drought moderate; Mycorrhizal symbioses; AMF; soil water; infected; water; severe drought; drought; SOD; inoculation; three AMF; the treatment drought stress; the different treatments","Glomus mosses etunicatum versiforme; Glomus etunicatum; mosses versiforme; Glomus; arbuscular mycorrhizal fungi (AMF); Glomus Glomus mosses etunicatum; Glomus mosses","height biomass malondialdehyde activities; the height biomass; host plant growth; height whole-plant biomass","the abandoned rare earth tailings","Potted experimental; greenhouse experiment",NA,"ryegrass infected; perennial ryegrass perenne; ryegrass; mosses G.; Lolium perenne",NA,"Ganzhou Jiangxi",NA
"132","10.1007/s00572-019-00890-6","ECM fungal; colonised; ECM fungi; conspecific mycorrhizal; three other ECM; colonised when; ectomycorrhizal (ECM) ECM; co-colonising","Pisolithus; Suillus luteus; Cenococcum geophilum; Cenococcum geophilum sp. luteus; geophilum Suillus luteus; geophilum luteus C.; geophilum luteus S.","The biomass rate; host plant growth; the biomass",NA,NA,NA,"Laccaria japonica; Forest trees; P. densiflora; Pinus densiflora",NA,NA,NA
"133","10.7717/peerj.6421","rhizosphere soil; the ectomycorrhizae ectomycorrhizosphere; six-month-old ectomycorrhizae; inoculated; the ectomycorrhizae","Actinobacteria; Tuber; bacterial fungal; Fusarium; truffle; Streptomyces SM1A02 Rhizomicrobium; Ascomycota Mucoromycota; commercial truffle","The biomass content","ectomycorrhizosphere soil",NA,NA,"indicum  ; Tuber indicum; Q. acutissima; indigenous tree; T. indicum; T. ; Chinese black truffle; Quercus acutissima",NA,"Ectomycorrhization","PeerJ"
"134","10.1007/s11356-019-04256-5","the genotype; arsenite; AM; As; As V; more efficient AM; Arsenic; As III; Si; Arsenic As; As stress; Pusa Pusa; Pusa root burst; AM inoculations; Pusa; arbuscular Si","Si mycorrhiza-Rhizophagus irregularis; arbuscular mycorrhizal (AM); arbuscular mycorrhiza-Rhizophagus","biomass; plant growth","As-contaminated soils",NA,NA,NA,NA,NA,"Environmental Science and Pollution Research"
"135","10.1111/1758-2229.12729","AM fungal; mycorrhizal symbioses; the inoculum; colonized; inoculum; coexisting AM fungi; inoculation; AM fungi",NA,"plant biomass; plant growth; contrasting temperatures community",NA,NA,NA,NA,NA,NA,"Environmental Microbiology Reports"
"136","10.1016/j.ecoenv.2018.12.097","Ri Glomus; GSH PCs; AMF inoculated; Cd %; Ri Gv; the non-mycorrhizal treatment; non-mycorrhizal treatment; Cd; Ri; Ri inoculation; without AMF; non-mycorrhizal; inoculated","Rhizophagus intraradices Ri; Glomus; versiforme; Arbuscular mycorrhizal fungus (AMF); Rhizophagus intraradices","biomass; plant growth","Cd-amended soils","pot experiment",NA,"Zea mays; maize inoculated; mycorrhizal maize; maize; maize non-mycorrhizal; maize mays",NA,NA,"Ecotoxicology and Environmental Safety"
"137","10.1002/ajb2.1206","combining; AMF; highly colonized; native AMF; inoculation; the diploids; AMF colonized","AMF inoculation; the Glomeraceae; arbuscular mycorrhizal fungi (AMF)","growth; plant growth; mycorrhizal growth; more shoot biomass",NA,"greenhouse",NA,"Centaurea stoebe; stoebe C.; Asteraceae co-occurring",NA,"European","American Journal of Botany"
"138","10.3389/fpls.2018.01611","inoculate; AMF different mosseae; combination; PGPB; AMF; phosphate levels; three; the combination best plant-microorganism; Inoculated uninoculated plants; Inoculations; inoculations; fungus/bacterium combinations; irrigated; Inoculation; AMF three","mosseae Rhizophagus irregularis; Funneliformis mosseae; mosseae F.; Funneliformis mosseae viscosum irregularis; Rhizophagus irregularis; Pseudomonas; irregularis R.; Septoglomus; Arbuscular mycorrhizal fungi (AMF)","root biomass; dry weights; plant growth; fruit yield",NA,"field; a greenhouse",NA,"19Fv1; Fragaria ×; ananassa; strawberry",NA,NA,"Frontiers in Plant Science"
"139","10.3389/fpls.2018.01605","inoculate; pathogens; soil pathogens; AMF colonized colonization; AMF; wet; dry treatment; soil fungi; other fungi; sterilized soil; highly colonized higher; treatments all; soil biota; Soil biota; the watering treatment experimental","arbuscular mycorrhizal fungi (AMF)","plant responses; biomass",NA,"greenhouse; watering treatment; the greenhouse field; greenhouse field","low-resource","Asclepias speciosa; Washington and Minnesota; the perennial herb speciosa",NA,NA,"Frontiers in Plant Science"
"140","10.1016/j.chemosphere.2018.11.085","plant-treated soil; inoculated plants; rhizobia AMF; AMF; nutrient deficiency","rhizobia; rhizobia fungi; arbuscular mycorrhiza fungi (AMF)","plant biomass","contaminated sites; contaminated soils",NA,NA,"legume rostrata; a legume Sesbania rostrata rhizobia; rostrata S.  ; rostrata; rostrata root",NA,NA,"Chemosphere"
"141","10.19540/j.cnki.cjcmm.20180528.004","alkaline; inoculated plants; uninoculated plants; inoculation; Inoculation","the mycorrhiza versiforme G.; Glomus versiforme","root biomass; biomass constituents; the growth; biomass biomass above-ground","acidic neutral",NA,NA,"miltiorrhiza S. %; Salvia miltiorrhiza; miltiorrhiza S.",NA,NA,NA
"142","10.1016/j.chemosphere.2018.08.147","AMF inoculated; inoculated plants; the controls; AMF; non-contaminated substrate; freeze-dried; Controls; AM plants; inoculated","AMF inoculation; Glomus; AMF inocula; AMF inoculum; arbuscular mycorrhizal fungi (AMF); commercial AM inoculum","plant biomass","Hg-polluted soil; Hg-contaminated substrate","pots filled",NA,"maize; rhizodermis endodermis; Maize",NA,"b Idrija Slovenia; Idrija Slovenia","Chemosphere"
"143","10.1186/s12898-018-0197-5","local soil;   high; soil pathogens; sterilized substrate; drought; mycorrhizae; a stress treatment; inoculation; soil biota; soils",NA,"aboveground biomass; biomass more annual high; growth","local soils",NA,NA,"Fagus sylvatica; trees; temperate trees",NA,"Germany","BMC Ecology"
"144","10.1007/s12088-018-0749-6","water stress; inoculated plants; DSE; this study inoculation; DSE AM; drought-stressed; uninoculated plants; drought; DSE the inoculation","Broome; haematococca; fungal inoculation; arbuscular mycorrhizal (AM)","plant biomass; plant growth; the growth",NA,NA,NA,"drought-stressed tomato",NA,NA,"Indian Journal of Microbiology"
"145","10.1002/ecy.2502","pasteurized; N addition; AMF; mycorrhizal fungi; BPE; addition without P; P addition; inoculated; mycorrhizal inoculation","arbuscular mycorrhizal fungi (AMF)","Biomass; biomass AMF; biomass; The growth; Plant growth","pasteurized soil","Mesocosms without; pasteurized inoculated mesocosms; mesocosm",NA,"Zea mays",NA,NA,"Ecology"
"146","10.3390/plants7030063","treatments; the inoculation; mycorrhizal fungi; non-saline; T treatments; SOC; salinity; combinations bacteria diameter yield; the control; saline non-saline","Glomus mosseae; bacterial fungal","mean weight; A algal dried biomass combinations; total yield grain; growth; corn yield grain; corn yield L.","saline soil; saline soils","mesocosm experiment",NA,"corn; arid","semi-arid lands",NA,"Plants"
"147","10.3389/fpls.2018.01046","ectomycorrhizal; non-transgenic; three billion; invasive fungal; potential non-target; mycorrhizal fungi; blight",NA,"total biomass",NA,"field soil; greenhouse","restoration","Castanea dentata; eastern States deciduous forests; American chestnuts transgenic organisms found; American chestnuts non-transgenic; American chestnut; American chestnuts; chestnut; American chestnuts expressing",NA,"United States; American; eastern","Frontiers in Plant Science"
"148","10.1007/s00572-018-0844-x","the inoculated treatment; previously sterilized substrate; filtrate; control absolute; control uninoculated absolute; mycorrhizal inoculum; Rhizophagus irregularis SYM5; control inoculations; the treatments; inoculated treatment; inoculum pot-produced containing; no control; Soil microorganisms; blank inoculum; in combination; Those treatments; control uninoculated; nonmycorrhizal controls; same fungus; control mycorrhizal inoculations; differently inoculated treatments; control inoculation; alone","arbuscular mycorrhizal fungi; irregularis; bacterial fungal; Rhizophagus","Andropogon gerardii plant biomass; plant growth",NA,"blank pot",NA,"gerardii; Andropogon",NA,NA,"Mycorrhiza"
"149","10.1007/s00572-018-0839-7","AMF-inoculated; AMF; non-AMF-inoculated plants; phosphorus addition; As; shallow water","arbuscular mycorrhizal fungi (AMF)","published; biomass","flooded","48; pot",NA,"Wetlands; wetland; Hedges'; wetlands","terrestrial systems; terrestrial plants",NA,"Mycorrhiza"
"150","10.3389/fpls.2018.00607","inoculated control; the intersexual competition; the control; inoculated non-inoculated; mycorrhizal treatments; competition this; inoculated females; AM fungi; females gaining","fungi Funneliformis mosseae; arbuscular mycorrhizal (AM); an AM additional Funneliformis mosseae","biomass; dry mass",NA,NA,NA,"dioecious plant; Populus cathayana; P. cathayana",NA,NA,"Frontiers in Plant Science"
"151","10.1093/femsec/fiy092","PGPB; AMF; autochthonous; inoculated three evaluated; native PGPB; drought; year inoculation; rhizosphere microbial; Inoculation; rhizosphere microbiome","a Bacillus thuringiensis strain IAM; plant growth-promoting bacteria; Bacillus IAM; arbuscular mycorrhiza fungi (AMF); strain IAM; bacterial fungal; IAM 12077; the strain IAM; native bacteria; thuringiensis IAM","plant biomass; plant growth; autochthonous shrubs growth",NA,NA,NA,"Santolina chamaecyparissus; Lavandula dentata; chamaecyparissus S.; Thymus vulgaris","Mediterranean zones; semiarid regions; semiarid",NA,"FEMS Microbiology Ecology"
"152","10.1016/j.envpol.2018.04.138","sodium; the inoculation; boron B; salt drought; combination; combined stresses; AMF; treatment; drought; salt; stress salt drought; Mycorrhizal inoculation","mosseae etunicatum F.  ; Funneliformis mosseae etunicatum; Funneliformis mosseae; mosseae etunicatum  ; arbuscular mycorrhizal fungi (AMF); Claroideoglomus etunicatum; mosseae Claroideoglomus etunicatum","plant biomass; biomass","B-contaminated soils",NA,NA,"P. tenuiflora; Puccinellia tenuiflora",NA,NA,"Environmental Pollution"
"153","10.1016/j.ecoenv.2018.03.073","As-contaminated conditions; AM; As; four levels; Mycorrhizal inoculation; As more; AM fungi; arsenic; mycorrhizal inoculation","Rhizophagus irregularis; arbuscular mycorrhizal (AM); fungus","plant biomass",NA,"pot",NA,"Medicago sativa",NA,NA,"Ecotoxicology and Environmental Safety"
"154","10.1590/0001-3765201820160189","inoculation; soil biota","Glomus; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungi; arbuscular mycorrhizal fungi communities","yield aboveground biomass uptake; yield biomass grain; growth cowpea yield; biomass; plant growth; growth nutrition yield; cowpea yield",NA,NA,NA,"cowpea",NA,NA,"Anais da Academia Brasileira de Ciências"
"155","10.1007/s00572-018-0823-2","low soil water; drought; inoculation alone; inoculation; drought improved; non-mycorrhizal; Inoculation","ectomycorrhizal fungus","shoot biomass; plant height; root growth",NA,NA,NA,"P. tinctorius; Pisolithus tinctorius",NA,NA,"Mycorrhiza"
"156","10.7717/peerj.4183","combination treatment; the combination treatment; inoculation non-inoculation; AMF","AMF inoculation; arbuscular mycorrhizal fungi (AMF)","plant growth; the aboveground biomass; belowground biomass",NA,"pot experiment",NA,"Trifolium repens perenne; Trifolium repens; Lolium perenne; T. repens; perenne L.; perenne grass; legume; perenne L. grass",NA,NA,"PeerJ"
"157","10.1186/s13104-017-3105-8","Colonization; the salinity treatment; nitrogen levels; a salinity treatment; saline conditions; mycorrhizae; salinity; salinity treatment; untreated plants","arbuscular mycorrhizal fungi; arbuscular mycorrhizae","dry biomass","soils salinized salinized",NA,"restoration","Fifty Galactia smallii; pine rocklands",NA,NA,"BMC Research Notes"
"158","10.1007/s00572-017-0809-5","Pi; inoculated grapes; the grape rootstock MGt; hydroponic conditions; non-inoculated controls; low phosphate; present P1BS motifs","AMF inoculation; Funneliformis mosseae; mosseae F.; fungus Funneliformis mosseae; arbuscular mycorrhizal fungus (AMF)","shoot growth; root biomass; the growth root architecture",NA,NA,NA,"Grape; grape",NA,NA,"Mycorrhiza"
"159","10.1007/s11356-017-9463-x","Combined; Si AM; AM; As; AM inoculation; genotype; As III stresses; Si Rhizophagus; Arsenic; Pusa; Si; Arsenic As; arsenic","Si irregularis; irregularis R.; Rhizophagus","higher biomass; yield; adversely affecting growth; root biomass; productivity biomass; growth productivity; growth; shoot biomass",NA,NA,NA,"V.",NA,NA,"Environmental Science and Pollution Research"
"160","10.3389/fpls.2017.00931","the inoculation; liquiritin; As; Cu; washed river pumice; nutrient deficiency","arbuscular mycorrhizal fungi; Glomus mosseae; mosseae; mosseae G.","root biomass; 4.4-folds; plant growth; growth the contents","nutrient-deficient soil",NA,"nutrient-deficient","glycyrrhizic; cultivated liquorice uralensis; paddy; liquorice plants; Glycyrrhiza uralensis; liquorice",NA,NA,"Frontiers in Plant Science"
"161","10.1007/s00572-017-0778-8","single dual mix; AMF; AMF sourced; alone; salt tolerant-Pusa; Salinity stress; NaCl; NaCl mM; salt sensitive-Paras; Pusa; inoculation; in combination; single; AMF all","native inoculum; F. mosseae; arbuscular mycorrhizal fungi (AMF); Funneliformis; Rhizophagus irregularis; irregularis R.","plant biomass; biomass","saline soil",NA,NA,"pigeonpea; Paras; Cajanus cajan",NA,NA,"Mycorrhiza"
"162","10.1007/s00248-017-0999-6","a third treatment; changed-AMF community; AMF; four invasive; control; native soil inoculated inoculated; soil microorganisms; invasive plants; sterilized soil inoculum; three; soil native","fungal inoculum; AMF inoculums; arbuscular mycorrhizal fungi (AMF)","dry biomass; the growth",NA,"field",NA,"P. aculeata; Cryptostegia madagascariensis; madagascariensis aculeata virgata C.; Prosopis juliflora; Parkinsonia aculeata juliflora; Parkinsonia aculeata","tropical seasonal","Brazilian","Microbial Ecology"
"163","10.1016/j.scitotenv.2017.05.047","four growth; < ethanol d-H; Cd grain; AMF; Cd extractable NaCl; Cd O extractable; Cd concentrations O extractable; Cd NaCl; Cd; Cd concentration extractable NaCl; mycorrhizal treatments; mycorrhizal inoculation","arbuscular mycorrhizal fungus (AMF); fungus AMF Rhizophagus intraradices mix pieces; Rhizophagus intraradices","root biomass; the added grain yield grown; growth; rice growth","Cd-contaminated soil",NA,NA,"rice; jointing; jointing flowering",NA,NA,"Science of The Total Environment"
"164","10.3389/fpls.2017.00684","two-compartment rhizoboxes; Phytate; non-inoculated inoculated","arbuscular mycorrhizal plants; arbuscular mycorrhizal fungi Funneliformis mosseae; Claroideoglomus etunicatum","plant biomass; biomass",NA,NA,NA,"Zea mays; maize",NA,NA,"Frontiers in Plant Science"
"165","10.3389/fpls.2017.00517","Pb treatments; Pb water-soluble; Pb inactive; Pb; Pb protein-integrated phosphate; inoculated","Funneliformis; mosseae F.; mosseae; arbuscular mycorrhizal fungus","photosynthesis height; plant biomass; plant growth","polluted soils","greenhouse; pot",NA,"pseudoacacia R.; Robinia; pseudoacacia; black locust",NA,NA,"Frontiers in Plant Science"
"166","10.1002/ecy.1793","ammonium nitrate glycine; ammonium glycine; AM-associated sub>2</sub; N recovery","arbuscular mycorrhizal (AM)","microbial biomass",NA,"split-plot field",NA,"tropical montane forests","tropical soils; tropical montane; tropical pre-montane; tropical plants","Panama","Ecology"
"167","10.1007/s11356-017-8649-6","soil microbial biomass; AM fungal; AM hyphae; AM mycelium; inoculated; soil nutrient; AM fungi; alone","arbuscular mycorrhizal (AM); etunicatum mosseae mosseae G.; Glomus mosseae; Glomus etunicatum mosseae; etunicatum mosseae G. alone; etunicatum mosseae G.; Glomus etunicatum; etunicatum G.","mycelial growth; the biomass","karst soil; N-poor soils; karst soils","unplanted; microcosm",NA,"Cinnamomum camphora; Lolium perenne; camphora C.",NA,"southern China","Environmental Science and Pollution Research"
"168","10.1016/j.plaphy.2017.01.001","ZnONPs treatment; rhizospheric AMF; ENPs; AMF; controls; nanoparticles ZnONPs treatments; ZnONPs treatments","AMF inoculation; Glomus intraradices; arbuscular mycorrhizal fungus (AMF;","shoot growth; biomass; the growth development",NA,NA,NA,"Trigonella foenum-graecum",NA,NA,"Plant Physiology and Biochemistry"
"169","10.1016/j.scitotenv.2016.12.031","an AM fungal fungal treatment; treatments; combination; inoculums; mycorrhizal fungi; AM fungal treatment; inoculations; Microbial inoculations; depths deeper; microbial mixture",NA,"root/shoot biomass",NA,NA,"urban; compost","compost tea'",NA,NA,"Science of The Total Environment"
"170","10.1016/j.bjm.2016.10.012","the treatments; treatment This; AMF; AM; temperature combinations; four light","Glomus sp.5; Glomus brohultii; native inoculum; Archaeospora; arbuscular mycorrhizal fungi (AMF); Glomus sp.5 brohultii glomerulatum; Glomus sp.5 brohultii","Growth development; the development growth; biomass","high temperatures",NA,NA,"G. glomerulatum; Calophyllum; Talipariti elatum; Paspalum notatum",NA,NA,"Brazilian Journal of Microbiology"
"171","10.1007/s00442-016-3771-6","AM fungal; soil inoculated inoculated; mycorrhizal fungi; CE; MGR; AM fungi; Inoculation; non-inoculated","arbuscular mycorrhizal (AM)","mycorrhizal growth; plant growth; the growth; the biomass",NA,NA,NA,"Plantago lanceolata",NA,"southern Ontario","Oecologia"
"172","10.1016/j.chemosphere.2016.09.145","diluting Cd; NM; Gt inoculation; N addition; Cd exchangeable; inoculation treatment; non-mycorrhizal inoculation; N fertilizer; Cd; inoculation all treatment; AMF fertilizer; inoculation; nutrient deficiency; mycorrhizal inoculation","Glomus aggregatum; AMF inoculations; G.     tortuosum Gt versiforme; tortuosum versiforme Gv; Glomus aggregatum Ga","the growth nutrient uptake; total biomass; shoot biomass","Cd-contaminated acidic; acidic soil","greenhouse pot",NA,"Medicago sativa; alfalfa",NA,NA,"Chemosphere"
"173","10.1002/ece3.2456","aggregated disintegrated; early successional; low SRL; soil exploration; soil microbiome; four grasses",NA,"plant biomass; biomass; belowground biomass; more biomass",NA,NA,NA,NA,NA,NA,"Ecology and Evolution"
"174","10.3389/fmicb.2016.01246","AMF inoculated; C4 mycorrhizal plants; salinity; single mixed AMF; C3 C4 plants plants; AMF; corresponding control; high; C4; saline conditions; C4 plants; mycorrhizal inoculation; C3 C4 plants; sodium; AMF-inoculated; inoculated plants; C3 C4; single inoculants; salt stress; low; salinity stress","AMF inoculation; Funneliformis mosseae; Rhizophagus irregularis; arbuscular mycorrhizal fungi (AMF)","published; total biomass; Responses","C4","greenhouse field","competitive K(+","acclimatize grow; C4 herbs; C4 dicot",NA,NA,"Frontiers in Microbiology"
"175","10.1080/15226514.2016.1207596","Cu Zn; AMF; AMF certain; the control; Plants inoculated inoculated","margarita G.; Acaulospora morrowiae scrobiculata; Gigaspora margarita; Rhizophagus clarus; colombiana margarita G.; clarus R.; arbuscular mycorrhizal fungi (AMF); Acaulospora colombiana; Acaulospora colombiana morrowiae scrobiculata; Acaulospora colombiana morrowiae heterogama clarus; colombiana margarita clarus A.; Acaulospora scrobiculata; colombiana morrowiae scrobiculata A.; Acaulospora morrowiae; colombiana Rhizophagus clarus","a fast-growing high biomass producing; growth higher; biomass uptake; biomass; the growth capabilities",NA,NA,NA,"Chrysopogon zizanioides; morrowiae margarita clarus A. especially; Vetiver zizanioides; Dentiscutata heterogama; scrobiculata A.; morrowiae A.",NA,"Southern Brazil","International Journal of Phytoremediation"
"176","10.3389/fmicb.2016.01030","AMF-inoculated; 6-month-old; AMF; As; taproot length; non-AMF-inoculated; these tested AMFs effects; taproot","scrobiculata mosseae; Funneliformis mosseae; scrobiculata Funneliformis mosseae; scrobiculata mosseae intraradices F. ≈A.; Acaulospora scrobiculata mosseae intraradices; mosseae F.; arbuscular mycorrhizal fungi (AMF); Acaulospora scrobiculata; scrobiculata Rhizophagus intraradices; intraradices > R.; Rhizophagus intraradices; scrobiculata intraradices > R.","mulberry biomass; root biomass; shoot height; growth; silkworm growth",NA,"greenhouse",NA,"scrobiculata mosseae intraradices A.; mulberry; Morus alba; scrobiculata A.; mulberry growth; host mulberry L. plant",NA,NA,"Frontiers in Microbiology"
"177","10.1186/s12862-016-0698-9","combinations allopatric any; AM fungal; AM inoculation; soil Sympatric combinations fungi; combinations novel; AM fungi; mycorrhizal inoculation","arbuscular mycorrhizal inoculation; arbuscular mycorrhizal (AM)","host biomass; plant biomass; plant growth",NA,NA,NA,NA,NA,NA,"BMC Evolutionary Biology"
"178","10.1007/s00572-016-0712-5","without AM fungi; inocula native; AM fungal; AM; the reference inoculum; inoculated; mycorrhizae; AM fungal reference; AM fungi; native reference","arbuscular mycorrhizal (AM)","plant biomass; plant growth; growth",NA,"greenhouse","succession; primary succession; succession natural","Calamagrostis epigejos; Poaceae; the chronosequence; deciduous forest; epigejos",NA,NA,"Mycorrhiza"
"179","10.1007/s00248-016-0779-8","a possibly sink; three; inoculation; ambient temperatures; No mycorrhizae","Sphingobacteriales","early growth; stable growth","hot desert soils",NA,NA,"Western Himalayas; Mount Shukule; temperate subnival",NA,"Ladakh India","Microbial Ecology"
"180","10.1016/j.crvi.2016.04.009","RWC; non-sterilized; non-mycorhized; sterilized non-sterilized; water regimes; AM fungal; mycorrhizal inoculation; the conservation reestablishment; water; against water; sterilized soils independently; inoculation; AM fungi; DS","indigenous arbuscular mycorrhizal (AM); Cupressus atlantica","the tolerance growth; biomass; growth","watering regime","pot cultures",NA,"Cupressus; atlantica  ",NA,NA,"Comptes Rendus. Biologies"
"181",NA,"combining; actinomycetes; AM fungi; culturable fungi; AM inoculum; culturable bacteria; sterilized soil; induction treatment; inoculation; inoculated; rhizosphere soil microorganism","Arbuscular Mycorrhizal( AM)","biomass; microbial biomass",NA,"greenhouse pot; the field",NA,"Paris polyphylla",NA,NA,NA
"182","10.1007/s00572-016-0699-y","fungi ectomycorrhizal; Cd Pb; Cd Cu; mock-inoculated plants; Cd Zn Pb Cu; inoculated; endophytic","endophytic fungi; arbuscular mycorrhizal; endophytic strains; the species Helotiales; the Helotiales; Serendipita","the shoot biomass","metal-contaminated phytoremediation; metal-contaminated sites",NA,"degraded","P06; isolates P06 P04; poplar; Leohumicola is; Poplar",NA,NA,"Mycorrhiza"
"183","10.1021/acs.jafc.6b00408","inoculation; AMF","AMF inoculation; AMF inoculum; arbuscular mycorrhizal fungi (AMF)","biomass profile content; the yield; 1.5-fold; the biomass",NA,"pot experiment",NA,"marjoram balm; marjoram balm 1.5-fold; marjoram 1.5-fold; lemon balm; herb each",NA,NA,"Journal of Agricultural and Food Chemistry"
"184","10.1371/journal.pone.0153378","inoculated measured; soil fixation; AM fungus; tensile strength; inoculation; AM fungi","irregularis versiforme; Rhizophagus irregularis Glomus versiforme; arbuscular mycorrhizal (AM); Rhizophagus irregularis; irregularis Glomus; arbuscular mycorrhizal fungi","mean weight; plant biomass; pseudoacacia strength R. growth improved The; plant growth",NA,"pot","Loess Plateau","Robinia; Loess Plateau; black locust; pseudoacacia R.; pseudoacacia",NA,NA,"PLOS ONE"
"185","10.1093/aobpla/plw018","DGGE; AMF; conditioning; AMF inoculum; often conditioning; inoculum","Arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungi (AMF); gradient gel electrophoresis DGGE; arbuscular fungal community","higher biomass; the growth biomass highest; root growth; growth biomass; growth","invaded soils","pots containing",NA,"ofAcacia dealbata; fromA. dealbata","terrestrial plant",NA,"AoB PLANTS"
"186","10.1038/srep21805","ASA; inoculated plants; inoculated; Cd treatments; Cd; uninoculated plants; APX; Ri; GR","arbuscular mycorrhizal fungi--Glomus versiforme; Rhizophagus intraradices; Rhizophagus intraradices Ri","plant growth; the growth; biomass roots","Cd-amended soils; Cd-contaminated soils","greenhouse pot",NA,"Lonicera japonica",NA,NA,"Scientific Reports"
"187","10.1007/s00572-016-0687-2","ERM; AM fungi; AMF; As; colonized; three; inoculum; inoculated","Glomeraceae Claroideoglomeraceae; Diversisporaceae; arbuscular mycorrhizal (AM)","biomass",NA,NA,"restoration","Rosmarinus officinalis","Mediterranean shrub",NA,"Mycorrhiza"
"188","10.1038/srep20469","AMF inoculated; the competition; AMF; inoculated; legume-legume; Pb; Pb unpolluted; non-mycorrhizal; co-culture; co-planted","arbuscular mycorrhizal fungi (AMF)","plant biomass; the growth; growth","polluted soil",NA,"degraded","Robinia pseudoacacia; legume grass; legume grass herbs; legume; grass; legumes",NA,NA,"Scientific Reports"
